phase,method,n,r,p
prevalence,dsl,20,0.9697341221380333,1.8134404417378838e-12
prevalence,ppi,20,0.9742719115455802,4.273365880370034e-13
prevalence,ppipp,20,0.9754667172846675,2.797636033951039e-13
low_variance,dsl,20,-0.25465180770660756,0.27858805769186124
low_variance,ppi,20,0.17753943347220985,0.45395585046435344
low_variance,ppipp,20,-0.2511590688467066,0.2854597617153719
high_variance,dsl,20,-0.04542237148005576,0.8491894570769367
high_variance,ppi,20,0.4678732552720936,0.03749401564235186
high_variance,ppipp,20,0.05008748838882483,0.8338972023657429
full_logistic,dsl,20,-0.11975698275895194,0.6150340433207844
full_logistic,ppi,20,0.8405555562041108,3.4922057690926674e-06
full_logistic,ppipp,20,0.12137122432481301,0.6102406550093952
