dataset,llm,method,n_expert,N_total,sRMSE_eucl,sRMSE_eucl_se,bias_eucl,bias_eucl_se,n_reps,n_valid
fomc,mistral,llm_only,100,,0.543207,0.0,0.131771,0.0,300,300
fomc,mistral,expert_only,100,129.0,0.226681,0.003935,-0.013478,0.08135,300,300
fomc,mistral,expert_only,100,167.0,0.225908,0.003809,0.119694,0.08795,300,300
fomc,mistral,expert_only,100,215.0,0.228196,0.003825,0.053764,0.084604,300,300
fomc,mistral,expert_only,100,278.0,0.230541,0.003957,0.015382,0.085643,300,300
fomc,mistral,expert_only,100,359.0,0.227275,0.003916,-0.006337,0.090537,300,300
fomc,mistral,expert_only,100,463.0,0.224544,0.003931,-0.060787,0.082532,300,300
fomc,mistral,expert_only,100,598.0,0.244062,0.004285,0.194553,0.090615,300,300
fomc,mistral,expert_only,100,772.0,0.232284,0.004209,0.101677,0.084144,300,300
fomc,mistral,expert_only,100,997.0,0.237788,0.004248,-0.223106,0.08899,300,300
fomc,mistral,dsl,100,129.0,0.219456,0.003693,-0.045381,0.079527,300,300
fomc,mistral,dsl,100,167.0,0.218334,0.003611,0.079039,0.082468,300,300
fomc,mistral,dsl,100,215.0,0.217485,0.003753,-0.016051,0.075522,300,300
fomc,mistral,dsl,100,278.0,0.214425,0.003598,0.011256,0.08006,300,300
fomc,mistral,dsl,100,359.0,0.209787,0.003555,-0.073355,0.081796,300,300
fomc,mistral,dsl,100,463.0,0.207114,0.003482,-0.033472,0.074422,300,300
fomc,mistral,dsl,100,598.0,0.218732,0.003656,0.214766,0.080855,300,300
fomc,mistral,dsl,100,772.0,0.211677,0.003506,0.030673,0.08,300,300
fomc,mistral,dsl,100,997.0,0.215536,0.003508,-0.220851,0.083365,300,300
fomc,mistral,ppi,100,129.0,0.229585,0.003919,-0.07553,0.086331,300,300
fomc,mistral,ppi,100,167.0,0.241265,0.004317,0.038893,0.09056,300,300
fomc,mistral,ppi,100,215.0,0.237054,0.004292,-0.117623,0.086707,300,300
fomc,mistral,ppi,100,278.0,0.240161,0.004003,0.069669,0.089338,300,300
fomc,mistral,ppi,100,359.0,0.240539,0.004082,-0.091565,0.090929,300,300
fomc,mistral,ppi,100,463.0,0.243336,0.003968,0.038247,0.094426,300,300
fomc,mistral,ppi,100,598.0,0.255379,0.004421,0.292109,0.101697,300,300
fomc,mistral,ppi,100,772.0,0.242037,0.00422,-0.026579,0.098878,300,300
fomc,mistral,ppi,100,997.0,0.251326,0.004442,-0.157895,0.100616,300,300
fomc,mistral,ppipp,100,129.0,0.222046,0.00382,-0.021429,0.080249,300,300
fomc,mistral,ppipp,100,167.0,0.220614,0.003704,0.113206,0.084935,300,300
fomc,mistral,ppipp,100,215.0,0.219933,0.003723,0.040126,0.081439,300,300
fomc,mistral,ppipp,100,278.0,0.219579,0.003741,0.034279,0.081514,300,300
fomc,mistral,ppipp,100,359.0,0.215893,0.003657,-0.012734,0.08527,300,300
fomc,mistral,ppipp,100,463.0,0.211513,0.003597,-0.017886,0.078132,300,300
fomc,mistral,ppipp,100,598.0,0.229688,0.003934,0.224113,0.085809,300,300
fomc,mistral,ppipp,100,772.0,0.216753,0.003821,0.097012,0.079717,300,300
fomc,mistral,ppipp,100,997.0,0.224203,0.003882,-0.197045,0.084628,300,300
