dataset,llm,method,n_expert,sRMSE_eucl,sRMSE_eucl_se,bias_eucl,bias_eucl_se,n_reps,n_valid,phase
fomc,gpt54,llm_only,,0.405179,0.0,0.174072,0.0,300,300,full_logistic
fomc,gpt54,expert_only,20.0,6.044204,0.199602,1.657277,0.687204,300,300,full_logistic
fomc,gpt54,expert_only,26.0,4.443234,0.153247,1.925006,0.4354,300,300,full_logistic
fomc,gpt54,expert_only,33.0,2.854718,0.085928,1.378833,0.309042,300,300,full_logistic
fomc,gpt54,expert_only,43.0,2.265525,0.069401,0.849333,0.197425,300,300,full_logistic
fomc,gpt54,expert_only,56.0,1.647153,0.049729,0.172401,0.13846,300,300,full_logistic
fomc,gpt54,expert_only,72.0,1.3832,0.041199,0.304302,0.116955,300,300,full_logistic
fomc,gpt54,expert_only,93.0,0.979672,0.019108,0.114495,0.096063,300,300,full_logistic
fomc,gpt54,expert_only,120.0,0.826064,0.017018,0.150929,0.08054,300,300,full_logistic
fomc,gpt54,expert_only,155.0,0.692981,0.013295,0.109978,0.062603,300,300,full_logistic
fomc,gpt54,expert_only,200.0,0.593359,0.011577,-0.015354,0.058971,300,300,full_logistic
fomc,gpt54,dsl,20.0,2.300421,0.047546,0.234532,0.251208,300,300,full_logistic
fomc,gpt54,dsl,26.0,1.913331,0.040344,0.748148,0.195232,300,300,full_logistic
fomc,gpt54,dsl,33.0,1.289321,0.027069,0.209852,0.125024,300,300,full_logistic
fomc,gpt54,dsl,43.0,1.136235,0.022444,0.328111,0.106268,300,300,full_logistic
fomc,gpt54,dsl,56.0,0.917867,0.018579,0.099332,0.085419,300,300,full_logistic
fomc,gpt54,dsl,72.0,0.802419,0.015743,0.097998,0.080952,300,300,full_logistic
fomc,gpt54,dsl,93.0,0.685676,0.012972,-0.014642,0.061674,300,300,full_logistic
fomc,gpt54,dsl,120.0,0.568337,0.010078,-0.019772,0.05341,300,300,full_logistic
fomc,gpt54,dsl,155.0,0.492937,0.008527,-0.041901,0.043413,300,300,full_logistic
fomc,gpt54,dsl,200.0,0.433814,0.007217,-0.046313,0.041138,300,300,full_logistic
fomc,gpt54,ppi,20.0,5.142079,0.239512,0.833268,0.348686,300,300,full_logistic
fomc,gpt54,ppi,26.0,3.394443,0.158212,0.797135,0.275988,300,300,full_logistic
fomc,gpt54,ppi,33.0,2.309304,0.092961,0.392541,0.16575,300,300,full_logistic
fomc,gpt54,ppi,43.0,2.095067,0.08883,0.548307,0.19439,300,300,full_logistic
fomc,gpt54,ppi,56.0,1.247139,0.03709,0.161476,0.108098,300,300,full_logistic
fomc,gpt54,ppi,72.0,1.127021,0.038846,0.165115,0.105387,300,300,full_logistic
fomc,gpt54,ppi,93.0,0.891246,0.024665,0.036912,0.073344,300,300,full_logistic
fomc,gpt54,ppi,120.0,0.705483,0.016598,-0.059175,0.062471,300,300,full_logistic
fomc,gpt54,ppi,155.0,0.60942,0.01206,-0.051016,0.053136,300,300,full_logistic
fomc,gpt54,ppi,200.0,0.544131,0.009732,-0.034403,0.04961,300,300,full_logistic
fomc,gpt54,ppipp,20.0,2.572326,0.071252,0.446194,0.282313,300,300,full_logistic
fomc,gpt54,ppipp,26.0,1.961194,0.053219,0.653401,0.203147,300,300,full_logistic
fomc,gpt54,ppipp,33.0,1.546062,0.03754,0.475304,0.171489,300,300,full_logistic
fomc,gpt54,ppipp,43.0,1.314642,0.029458,0.432162,0.12769,300,300,full_logistic
fomc,gpt54,ppipp,56.0,1.013704,0.021759,0.035632,0.096622,300,300,full_logistic
fomc,gpt54,ppipp,72.0,0.878226,0.017672,0.084846,0.083797,300,300,full_logistic
fomc,gpt54,ppipp,93.0,0.732201,0.013304,0.00033,0.068442,300,300,full_logistic
fomc,gpt54,ppipp,120.0,0.623131,0.011472,0.032488,0.059009,300,300,full_logistic
fomc,gpt54,ppipp,155.0,0.527204,0.009437,-0.001222,0.047066,300,300,full_logistic
fomc,gpt54,ppipp,200.0,0.463066,0.008283,-0.066216,0.045669,300,300,full_logistic
