dataset,llm,method,n_expert,sRMSE_eucl,sRMSE_eucl_se,n_reps,n_valid,phase
cuad,llama,llm_only,,0.147444,0.0,300,300,full_logistic
cuad,llama,expert_only,20.0,2.751382,0.07685,300,300,full_logistic
cuad,llama,expert_only,26.0,2.349858,0.0785,300,300,full_logistic
cuad,llama,expert_only,33.0,1.939451,0.069139,300,300,full_logistic
cuad,llama,expert_only,43.0,1.320652,0.047598,300,300,full_logistic
cuad,llama,expert_only,56.0,1.18129,0.045071,300,300,full_logistic
cuad,llama,expert_only,72.0,0.871161,0.032059,300,300,full_logistic
cuad,llama,expert_only,93.0,0.662795,0.021496,300,300,full_logistic
cuad,llama,expert_only,120.0,0.571918,0.020155,300,300,full_logistic
cuad,llama,expert_only,155.0,0.426425,0.012766,300,300,full_logistic
cuad,llama,expert_only,200.0,0.365953,0.01117,300,300,full_logistic
cuad,llama,dsl,20.0,0.761557,0.010498,300,300,full_logistic
cuad,llama,dsl,26.0,0.659663,0.010053,300,300,full_logistic
cuad,llama,dsl,33.0,0.536116,0.006036,300,300,full_logistic
cuad,llama,dsl,43.0,0.541552,0.005345,300,300,full_logistic
cuad,llama,dsl,56.0,0.51282,0.004169,300,300,full_logistic
cuad,llama,dsl,72.0,0.518139,0.003955,300,300,full_logistic
cuad,llama,dsl,93.0,0.51472,0.003247,300,300,full_logistic
cuad,llama,dsl,120.0,0.510585,0.002963,300,300,full_logistic
cuad,llama,dsl,155.0,0.502539,0.002657,300,300,full_logistic
cuad,llama,dsl,200.0,0.503118,0.002263,300,300,full_logistic
cuad,llama,ppi,20.0,1.755465,0.087571,300,300,full_logistic
cuad,llama,ppi,26.0,1.063848,0.047703,300,300,full_logistic
cuad,llama,ppi,33.0,0.638245,0.024111,300,300,full_logistic
cuad,llama,ppi,43.0,0.522404,0.016674,300,300,full_logistic
cuad,llama,ppi,56.0,0.388449,0.010142,300,300,full_logistic
cuad,llama,ppi,72.0,0.369436,0.008928,300,300,full_logistic
cuad,llama,ppi,93.0,0.333119,0.007197,300,300,full_logistic
cuad,llama,ppi,120.0,0.316665,0.00668,300,300,full_logistic
cuad,llama,ppi,155.0,0.297773,0.006307,300,300,full_logistic
cuad,llama,ppi,200.0,0.292441,0.005884,300,300,full_logistic
