dataset,llm,method,n_expert,sRMSE_eucl,sRMSE_eucl_se,n_reps,n_valid,phase
cuad,mistral,llm_only,,0.105031,0.0,300,300,full_logistic
cuad,mistral,expert_only,20.0,2.737579,0.072026,300,300,full_logistic
cuad,mistral,expert_only,26.0,2.32787,0.075912,300,300,full_logistic
cuad,mistral,expert_only,33.0,1.943236,0.073304,300,300,full_logistic
cuad,mistral,expert_only,43.0,1.524382,0.057194,300,300,full_logistic
cuad,mistral,expert_only,56.0,1.004913,0.036548,300,300,full_logistic
cuad,mistral,expert_only,72.0,0.927214,0.033918,300,300,full_logistic
cuad,mistral,expert_only,93.0,0.642782,0.02151,300,300,full_logistic
cuad,mistral,expert_only,120.0,0.497448,0.014193,300,300,full_logistic
cuad,mistral,expert_only,155.0,0.442223,0.013214,300,300,full_logistic
cuad,mistral,expert_only,200.0,0.372481,0.011291,300,300,full_logistic
cuad,mistral,dsl,20.0,0.767284,0.011167,300,300,full_logistic
cuad,mistral,dsl,26.0,0.661431,0.010085,300,300,full_logistic
cuad,mistral,dsl,33.0,0.559107,0.006251,300,300,full_logistic
cuad,mistral,dsl,43.0,0.547899,0.00607,300,300,full_logistic
cuad,mistral,dsl,56.0,0.537245,0.004974,300,300,full_logistic
cuad,mistral,dsl,72.0,0.515503,0.004164,300,300,full_logistic
cuad,mistral,dsl,93.0,0.51745,0.004133,300,300,full_logistic
cuad,mistral,dsl,120.0,0.505244,0.003313,300,300,full_logistic
cuad,mistral,dsl,155.0,0.511071,0.00291,300,300,full_logistic
cuad,mistral,dsl,200.0,0.499166,0.002573,300,300,full_logistic
cuad,mistral,ppi,20.0,1.220654,0.054655,300,300,full_logistic
cuad,mistral,ppi,26.0,0.89535,0.036642,300,300,full_logistic
cuad,mistral,ppi,33.0,0.840892,0.034237,300,300,full_logistic
cuad,mistral,ppi,43.0,0.656381,0.025385,300,300,full_logistic
cuad,mistral,ppi,56.0,0.451703,0.01241,300,300,full_logistic
cuad,mistral,ppi,72.0,0.397885,0.01017,300,300,full_logistic
cuad,mistral,ppi,93.0,0.366027,0.00822,300,300,full_logistic
cuad,mistral,ppi,120.0,0.32904,0.006867,300,300,full_logistic
cuad,mistral,ppi,155.0,0.324584,0.006569,300,300,full_logistic
cuad,mistral,ppi,200.0,0.290929,0.006041,300,300,full_logistic
