dataset,rows,accuracy,kappa,mean_y,mean_yhat,shift
fomc (deepseek),1169,0.7759,0.5535,0.4885,0.5843,0.0958
fomc (gpt54),1169,0.8221,0.6431,0.4885,0.4388,-0.0496
pubmedqa (deepseek),1000,0.604,0.3596,0.772,1.096,0.324
pubmedqa (gpt4omini),1000,0.385,0.1036,0.772,1.46,0.688
pubmedqa (gpt54),1000,0.77,0.573,0.772,0.742,-0.03
pubmedqa (fewshot-gpt54),997,0.4814,0.0398,0.7733,1.1454,0.3721
cuad (deepseek),1396,0.9398,0.8797,0.5,0.4713,-0.0287
cuad (gpt4omini),1396,0.9434,0.8868,0.5,0.495,-0.005
cuad (gpt54),1396,0.9448,0.8897,0.5,0.4835,-0.0165
cuad (fewshot-gpt54),1394,0.9426,0.8852,0.5007,0.5007,0.0
misogynistic (deepseek),1000,0.806,0.612,0.5,0.588,0.088
misogynistic (gpt54),1000,0.788,0.576,0.5,0.328,-0.172
misogynistic (fewshot-gpt54),998,0.6784,0.3571,0.501,0.3377,-0.1633
misogynistic (mistral),997,0.8084,0.617,0.4985,0.5517,0.0532
fomc (mistral),1169,0.6861,0.3638,0.4885,0.2156,-0.2729
pubmedqa (mistral),1000,0.503,0.2356,0.772,1.263,0.491
cuad (mistral),1391,0.9209,0.8418,0.4989,0.4989,0.0
fomc (llama),1169,0.722,0.4458,0.4885,0.5697,0.0813
pubmedqa (llama),1000,0.509,0.1495,0.772,1.291,0.519
cuad (llama),1395,0.9254,0.8509,0.4996,0.4738,-0.0258
misogynistic (llama),997,0.8225,0.6451,0.4985,0.5677,0.0692
fomc (claude),1169,0.7981,0.5945,0.4885,0.4063,-0.0821
vuamc (deepseek),1198,0.8497,0.6852,0.4207,0.3573,-0.0634
vuamc (gpt54),1198,0.8948,0.7855,0.4207,0.4391,0.0184
vuamc (mistral),1197,0.7928,0.5801,0.4202,0.4586,0.0384
vuamc (llama),1198,0.8088,0.63,0.4207,0.6052,0.1845
vuamc (claude),1198,0.904,0.8029,0.4207,0.4182,-0.0025
pubmedqa (claude),1000,0.79,0.6159,0.772,0.729,-0.043
cuad (claude),1396,0.9413,0.8825,0.5,0.4842,-0.0158
misogynistic (claude),1000,0.838,0.676,0.5,0.494,-0.006
