dataset,llm,method,n_expert,sRMSE_eucl,sRMSE_eucl_se,bias_eucl,bias_eucl_se,n_reps,n_valid,phase
cuad,deepseek,llm_only,,0.092834,0.0,-0.215743,0.0,300,300,full_logistic
cuad,deepseek,expert_only,20.0,2.54477,0.064505,3.91374,0.502976,300,300,full_logistic
cuad,deepseek,expert_only,26.0,2.210825,0.071212,3.346017,0.415413,300,300,full_logistic
cuad,deepseek,expert_only,33.0,1.817907,0.06344,1.912925,0.264794,300,300,full_logistic
cuad,deepseek,expert_only,43.0,1.390758,0.051279,1.616723,0.196213,300,300,full_logistic
cuad,deepseek,expert_only,56.0,1.073448,0.040995,0.862416,0.122589,300,300,full_logistic
cuad,deepseek,expert_only,72.0,0.77351,0.027353,0.603859,0.093395,300,300,full_logistic
cuad,deepseek,expert_only,93.0,0.607763,0.019753,0.473308,0.078721,300,300,full_logistic
cuad,deepseek,expert_only,120.0,0.516203,0.017026,0.321745,0.060061,300,300,full_logistic
cuad,deepseek,expert_only,155.0,0.36088,0.010247,0.174442,0.044448,300,300,full_logistic
cuad,deepseek,expert_only,200.0,0.322322,0.01012,0.185322,0.037108,300,300,full_logistic
cuad,deepseek,dsl,20.0,0.781793,0.010082,-0.26627,0.146453,300,300,full_logistic
cuad,deepseek,dsl,26.0,0.667453,0.008002,-0.263101,0.104345,300,300,full_logistic
cuad,deepseek,dsl,33.0,0.564123,0.003976,-0.364882,0.034121,300,300,full_logistic
cuad,deepseek,dsl,43.0,0.560647,0.003585,-0.405869,0.027496,300,300,full_logistic
cuad,deepseek,dsl,56.0,0.558931,0.002838,-0.392262,0.023021,300,300,full_logistic
cuad,deepseek,dsl,72.0,0.552732,0.002567,-0.394222,0.018363,300,300,full_logistic
cuad,deepseek,dsl,93.0,0.544835,0.002315,-0.381389,0.017353,300,300,full_logistic
cuad,deepseek,dsl,120.0,0.546539,0.002008,-0.398757,0.014485,300,300,full_logistic
cuad,deepseek,dsl,155.0,0.545411,0.001729,-0.397294,0.012199,300,300,full_logistic
cuad,deepseek,dsl,200.0,0.54238,0.001523,-0.394183,0.010166,300,300,full_logistic
cuad,deepseek,ppi,20.0,0.542113,0.016942,-0.084612,0.067481,300,300,full_logistic
cuad,deepseek,ppi,26.0,0.475669,0.014257,-0.140585,0.044667,300,300,full_logistic
cuad,deepseek,ppi,33.0,0.432056,0.011101,-0.146487,0.039672,300,300,full_logistic
cuad,deepseek,ppi,43.0,0.426146,0.011911,-0.180616,0.03747,300,300,full_logistic
cuad,deepseek,ppi,56.0,0.349528,0.006745,-0.199977,0.030864,300,300,full_logistic
cuad,deepseek,ppi,72.0,0.320472,0.006385,-0.178503,0.023875,300,300,full_logistic
cuad,deepseek,ppi,93.0,0.299582,0.005956,-0.170293,0.02124,300,300,full_logistic
cuad,deepseek,ppi,120.0,0.30622,0.005852,-0.21397,0.019658,300,300,full_logistic
cuad,deepseek,ppi,155.0,0.293484,0.005324,-0.203409,0.016929,300,300,full_logistic
cuad,deepseek,ppi,200.0,0.287436,0.00544,-0.197452,0.015398,300,300,full_logistic
cuad,deepseek,ppipp,20.0,0.53433,0.014214,0.402953,0.120855,300,300,full_logistic
cuad,deepseek,ppipp,26.0,0.471852,0.011021,0.343179,0.097749,300,300,full_logistic
cuad,deepseek,ppipp,33.0,0.425072,0.008869,0.105781,0.073548,300,300,full_logistic
cuad,deepseek,ppipp,43.0,0.400145,0.00833,0.057778,0.063481,300,300,full_logistic
cuad,deepseek,ppipp,56.0,0.353432,0.00686,-0.077521,0.045902,300,300,full_logistic
cuad,deepseek,ppipp,72.0,0.331721,0.006501,-0.123519,0.036489,300,300,full_logistic
cuad,deepseek,ppipp,93.0,0.315707,0.006023,-0.121565,0.033229,300,300,full_logistic
cuad,deepseek,ppipp,120.0,0.30732,0.005693,-0.164127,0.027308,300,300,full_logistic
cuad,deepseek,ppipp,155.0,0.301342,0.005111,-0.189069,0.022344,300,300,full_logistic
cuad,deepseek,ppipp,200.0,0.286468,0.004509,-0.175369,0.018425,300,300,full_logistic
