dataset,llm,method,n_expert,sRMSE_eucl,sRMSE_eucl_se,n_reps,n_valid
vuamc,deepseek,llm_only,,0.250643,0.0,300,300
vuamc,deepseek,expert_only,20.0,0.611488,0.018309,300,300
vuamc,deepseek,expert_only,26.0,0.520271,0.014822,300,300
vuamc,deepseek,expert_only,33.0,0.344324,0.007804,300,300
vuamc,deepseek,expert_only,43.0,0.297959,0.006636,300,300
vuamc,deepseek,expert_only,56.0,0.252791,0.006441,300,300
vuamc,deepseek,expert_only,72.0,0.221431,0.00518,300,300
vuamc,deepseek,expert_only,93.0,0.184791,0.004439,300,300
vuamc,deepseek,expert_only,120.0,0.146679,0.002957,300,300
vuamc,deepseek,expert_only,155.0,0.123463,0.002561,300,300
vuamc,deepseek,expert_only,200.0,0.103663,0.002157,300,300
vuamc,deepseek,dsl,20.0,0.615168,0.012074,300,300
vuamc,deepseek,dsl,26.0,0.527804,0.010586,300,300
vuamc,deepseek,dsl,33.0,0.393379,0.009802,300,300
vuamc,deepseek,dsl,43.0,0.335446,0.007794,300,300
vuamc,deepseek,dsl,56.0,0.297132,0.007008,300,300
vuamc,deepseek,dsl,72.0,0.263252,0.005921,300,300
vuamc,deepseek,dsl,93.0,0.220969,0.00452,300,300
vuamc,deepseek,dsl,120.0,0.192578,0.003677,300,300
vuamc,deepseek,dsl,155.0,0.167106,0.003413,300,300
vuamc,deepseek,dsl,200.0,0.143385,0.002876,300,300
vuamc,deepseek,ppi,20.0,0.245903,0.000242,300,300
vuamc,deepseek,ppi,26.0,0.244579,0.000303,300,300
vuamc,deepseek,ppi,33.0,0.242534,0.000343,300,300
vuamc,deepseek,ppi,43.0,0.240163,0.000386,300,300
vuamc,deepseek,ppi,56.0,0.236929,0.000414,300,300
vuamc,deepseek,ppi,72.0,0.233933,0.000496,300,300
vuamc,deepseek,ppi,93.0,0.228619,0.000513,300,300
vuamc,deepseek,ppi,120.0,0.222333,0.000589,300,300
vuamc,deepseek,ppi,155.0,0.21218,0.000668,300,300
vuamc,deepseek,ppi,200.0,0.20273,0.000734,300,300
vuamc,deepseek,ppipp,20.0,0.425231,0.011598,300,300
vuamc,deepseek,ppipp,26.0,0.367908,0.008926,300,300
vuamc,deepseek,ppipp,33.0,0.277653,0.006256,300,300
vuamc,deepseek,ppipp,43.0,0.238297,0.00502,300,300
vuamc,deepseek,ppipp,56.0,0.209232,0.00492,300,300
vuamc,deepseek,ppipp,72.0,0.190696,0.004391,300,300
vuamc,deepseek,ppipp,93.0,0.157654,0.00349,300,300
vuamc,deepseek,ppipp,120.0,0.132331,0.00273,300,300
vuamc,deepseek,ppipp,155.0,0.112956,0.002327,300,300
vuamc,deepseek,ppipp,200.0,0.09506,0.001987,300,300
