dataset,llm,method,n_expert,sRMSE_eucl,sRMSE_eucl_se,n_reps,n_valid
vuamc,mistral,llm_only,,0.261431,0.0,300,300
vuamc,mistral,expert_only,20.0,0.612591,0.016922,300,300
vuamc,mistral,expert_only,26.0,0.52955,0.015682,300,300
vuamc,mistral,expert_only,33.0,0.404325,0.011429,300,300
vuamc,mistral,expert_only,43.0,0.308507,0.00712,300,300
vuamc,mistral,expert_only,56.0,0.250995,0.005494,300,300
vuamc,mistral,expert_only,72.0,0.222499,0.005112,300,300
vuamc,mistral,expert_only,93.0,0.185789,0.004093,300,300
vuamc,mistral,expert_only,120.0,0.159128,0.003346,300,300
vuamc,mistral,expert_only,155.0,0.127528,0.002672,300,300
vuamc,mistral,expert_only,200.0,0.113344,0.002554,300,300
vuamc,mistral,dsl,20.0,0.605889,0.013192,300,300
vuamc,mistral,dsl,26.0,0.552637,0.011482,300,300
vuamc,mistral,dsl,33.0,0.470241,0.012139,300,300
vuamc,mistral,dsl,43.0,0.419507,0.010679,300,300
vuamc,mistral,dsl,56.0,0.341894,0.00791,300,300
vuamc,mistral,dsl,72.0,0.301965,0.006848,300,300
vuamc,mistral,dsl,93.0,0.261355,0.005491,300,300
vuamc,mistral,dsl,120.0,0.237778,0.005417,300,300
vuamc,mistral,dsl,155.0,0.201261,0.004137,300,300
vuamc,mistral,dsl,200.0,0.167846,0.003262,300,300
vuamc,mistral,ppi,20.0,0.256364,0.000292,300,300
vuamc,mistral,ppi,26.0,0.255057,0.000334,300,300
vuamc,mistral,ppi,33.0,0.253368,0.000372,300,300
vuamc,mistral,ppi,43.0,0.251799,0.000399,300,300
vuamc,mistral,ppi,56.0,0.247816,0.000444,300,300
vuamc,mistral,ppi,72.0,0.244689,0.000536,300,300
vuamc,mistral,ppi,93.0,0.239851,0.000608,300,300
vuamc,mistral,ppi,120.0,0.232844,0.000707,300,300
vuamc,mistral,ppi,155.0,0.223907,0.000766,300,300
vuamc,mistral,ppi,200.0,0.21312,0.000817,300,300
vuamc,mistral,ppipp,20.0,0.446288,0.010284,300,300
vuamc,mistral,ppipp,26.0,0.390627,0.00969,300,300
vuamc,mistral,ppipp,33.0,0.325353,0.007732,300,300
vuamc,mistral,ppipp,43.0,0.2719,0.006064,300,300
vuamc,mistral,ppipp,56.0,0.226992,0.00498,300,300
vuamc,mistral,ppipp,72.0,0.203967,0.004652,300,300
vuamc,mistral,ppipp,93.0,0.174037,0.003878,300,300
vuamc,mistral,ppipp,120.0,0.151257,0.003189,300,300
vuamc,mistral,ppipp,155.0,0.122975,0.002496,300,300
vuamc,mistral,ppipp,200.0,0.11006,0.002467,300,300
