text,x1,x2,x3,x4,x5,y
"But sadly , there is no indication that the GMA consortium which will design , operate and maintain the first of the new generation British trams in Manchester will share the looks of their Milanese counterparts .",0.7520633040149074,0.9869504960853137,-0.4804565533426038,0.5453116489339236,-0.33094317340847373,1
"Hale 's eyes stare knowingly at the viewer , a human sacrifice to an alienated and consumerist culture .",-0.14126560904984206,0.7512704660821283,-0.41231991556122727,0.7129119278903512,-0.5437077976426785,1
"There is now cylindrical symmetry and a net charge per unit length [formula] , yielding for the radial component of the electric field [formula] .",0.15651069530507442,1.0750245139159993,-0.4855655729653313,0.7712076769439327,-0.5695845761331267,1
This should be followed by a separate section on how to set the system up in the first place and how to check that it is working properly .,0.3550282315416854,0.11167015599697941,-0.57168379655758,0.05448226035801414,-0.5660345390067675,1
National Power was given 70 per cent of the CEGB 's generating capacity in order to give it an economic mix of power .,0.10688131124592166,0.23135294125562988,-0.554732173439171,0.02793687451632526,-0.13688313219653905,1
Two nines are eighteen .,-0.8360769858779805,0.26949360912655174,-0.11526808224080468,0.4615115091707894,-0.2373135328199748,0
The major auction houses have moved with the times and have found new ways of selling works which in both form and content would have proved an unstable investment a decade ago .,0.5535457677782963,0.6578349543718865,-0.5925536116321793,-0.07271438010966849,-0.5826013804397266,1
"It 's right that the Guildford Four have told their stories now to Grant McKee and Ros Franey and First Tuesday , the programme and the producers who dug away , and did much to keep the case alive .",0.9009514561923656,0.24660920842230616,-0.46632933859766557,-0.19303552654422027,-0.1475881959132525,1
That 's the one I saw when I was coming in .,-0.4886712974639113,-0.8747264260857318,-0.3660261234414214,-0.9630908622437651,0.09595200383072237,0
I 'll go and eat your dinner .,-0.6871888337005223,-0.7603044225645035,-0.22560162089867705,-0.9630908622437651,-0.2751568719336692,0
Mm .,-0.9849651380554387,-2.0189464612980155,2.643070361697961,-0.9630908622437651,3.140204502517846,0
She kept looking over there .,-0.7864476018188278,0.26949360912655174,-0.21038320172779792,0.1765910348878786,-0.3064187605697712,0
french fries .,-0.935335753996286,0.26949360912655174,0.27878026613673196,-0.9630908622437651,-0.6346685954012025,0
The conference opened with Labour buoyed by a series of weekend opinion polls giving leads of from 5 to 12 points .,0.007622543127616173,0.5191416167842671,-0.5518051230995106,-0.14903236404837342,-0.46689645788368356,1
What Andrew Motion presents us with here is a static and humourless piece filled with over imagery .,-0.19089499310899483,0.8288900707757192,-0.534535526227914,0.04251081149480015,-0.35845836837433265,1
Yeah .,-0.9849651380554387,-1.1035704331281886,1.5397349843872552,-0.9630908622437651,1.2527679535583218,0
"Ah , get a .",-0.8360769858779805,-1.9274088584810325,1.5397349843872552,-0.9630908622437651,0.6236224374901386,0
From this end or ?,-0.8360769858779805,-0.8289576246772407,0.06862114753164672,-0.9630908622437651,-0.0539188882032661,0
"Yeah , I",-0.935335753996286,-1.561258447213102,0.9880672950699012,-0.9630908622437651,2.3852298829340364,0
"After that we would go to Tahiti , and I saw the excitement grow in Ellen as she realised that these plans were so close to coming true .",0.3550282315416854,0.04854077478176543,-0.4736507424878172,-0.5409864557509754,-0.3524350925272625,1
Yes indeed .,-0.935335753996286,-0.3407570763505119,0.43639960575254716,-0.9630908622437651,0.20419209294136673,0
